Title,Rating
232. To Be or Not to Be,8.2 (91K)
233. Ah-ga-ssi,8.1 (64K)
234. Babam ve Oglum,8.0 (670K)
235. La battaglia di Algeri,8.1 (98K)
236. Groundhog Day,8.1 (250K)
237. The Grapes of Wrath,8.1 (253K)
238. Amores perros,8.1 (144K)
239. The Sound of Music,8.1 (186K)
240. Rebecca,8.1 (220K)
241. Cool Hand Luke,8.1 (484K)
242. The Iron Giant,8.1 (110K)
243. The Help,8.2 (37K)
244. It Happened One Night,8.1 (126K)
245. Pather Panchali,8.0 (455K)
246. Les quatre cents coups,8.0 (285K)
247. Aladdin,8.1 (128K)
248. Dances with Wolves,8.0 (418K)
